,win,nomination
tt0085780,0,0
tt0085794,3,8
tt0085811,1,5
tt0085859,4,6
tt0085862,0,0
tt0085894,0,0
tt0085933,10,7
tt0085959,1,2
tt0085970,0,0
tt0085995,0,0
tt0086006,1,3
tt0086022,3,1
tt0086034,2,3
tt0086066,1,4
tt0086129,0,0
tt0086154,0,0
tt0086190,22,20
tt0086197,11,16
tt0086200,0,0
tt0086216,3,4
tt0086250,0,0
tt0086312,2,18
tt0086320,0,0
tt0086361,0,0
tt0086373,0,0
tt0086383,0,0
tt0086393,2,7
tt0086425,32,18
tt0086450,0,0
tt0086465,3,5
tt0086491,1,8
tt0086525,0,0
tt0086541,3,7
tt0086567,4,14
tt0086617,8,16
tt0086619,6,15
tt0086637,7,19
tt0086837,1,8
tt0086856,0,0
tt0086859,2,3
tt0086873,2,2
tt0086879,43,15
tt0086927,0,0
tt0086935,4,1
tt0086960,4,5
tt0086969,5,2
tt0086979,6,8
tt0086984,1,4
tt0086993,0,0
tt0087003,3,4
tt0087015,1,1
tt0087032,1,8
tt0087050,1,3
tt0087075,10,5
tt0087078,1,3
tt0087089,1,8
tt0087175,1,2
tt0087182,2,5
tt0087231,0,0
tt0087233,2,2
tt0087262,0,0
tt0087277,1,6
tt0087298,0,0
tt0087332,7,8
tt0087363,8,6
tt0087365,3,17
tt0087469,11,21
tt0087507,0,0
tt0087538,2,3
tt0087544,4,2
tt0087553,28,22
tt0087578,0,0
tt0087597,0,0
tt0087727,0,0
tt0087747,0,0
tt0087755,0,0
tt0087781,3,8
tt0087799,0,0
tt0087800,4,6
tt0087803,6,3
tt0087843,12,12
tt0087884,18,12
tt0087892,22,27
tt0087909,0,0
tt0087910,1,2
tt0087921,13,14
tt0087928,0,0
tt0087957,7,4
tt0087985,0,0
tt0087995,2,3
tt0088000,0,0
tt0088011,8,4
tt0088015,2,1
tt0088024,0,0
tt0088083,2,3
tt0088117,0,0
tt0088128,2,1
tt0088161,2,9
tt0088170,1,7
tt0088172,1,6
tt0088184,9,3
tt0088194,2,1
tt0088206,0,0
tt0088247,8,6
tt0088258,2,2
tt0088272,0,0
tt0088286,0,0
tt0088323,5,7
tt0088414,2,1
tt0088680,3,10
tt0088708,0,0
tt0088763,22,25
tt0088794,0,0
tt0088814,0,0
tt0088846,8,5
tt0088847,0,0
tt0088850,0,0
tt0088889,0,0
tt0088930,0,0
tt0088933,7,11
tt0088939,14,23
tt0088944,0,0
tt0088979,1,2
tt0088993,0,0
tt0089003,0,0
tt0089013,0,0
tt0089017,1,4
tt0089092,2,7
tt0089114,1,5
tt0089118,0,0
tt0089153,2,1
tt0089155,0,0
tt0089173,0,0
tt0089175,5,5
tt0089218,3,6
tt0089280,0,0
tt0089346,0,0
tt0089360,0,0
tt0089370,0,0
tt0089374,0,0
tt0089393,0,0
tt0089421,0,0
tt0089424,14,10
tt0089457,5,7
tt0089461,0,0
tt0089469,1,11
tt0089489,1,2
tt0089530,1,8
tt0089543,0,0
tt0089560,3,7
tt0089606,15,5
tt0089670,1,1
tt0089686,0,0
tt0089695,0,0
tt0089730,0,0
tt0089755,30,27
tt0089767,2,1
tt0089791,0,0
tt0089822,0,0
tt0089841,27,24
tt0089853,15,15
tt0089869,10,1
tt0089880,5,5
tt0089881,30,23
tt0089885,4,4
tt0089886,2,2
tt0089893,0,0
tt0089901,0,0
tt0089907,0,0
tt0089908,0,0
tt0089927,9,5
tt0089941,2,8
tt0089961,0,0
tt0090021,0,0
tt0090022,1,4
tt0090056,0,0
tt0090060,1,1
tt0090094,0,0
tt0090095,3,12
tt0090098,0,0
tt0090103,0,0
tt0090142,0,0
tt0090180,0,0
tt0090190,0,0
tt0090248,1,3
tt0090264,2,5
tt0090305,0,0
tt0090329,13,25
tt0090350,1,10
tt0090357,1,5
tt0090555,3,8
tt0090563,5,12
tt0090583,0,0
tt0090605,20,23
tt0090633,6,7
tt0090655,0,0
tt0090660,0,0
tt0090667,0,0
tt0090670,2,2
tt0090685,1,2
tt0090728,1,1
tt0090756,18,18
tt0090830,6,11
tt0090837,0,0
tt0090852,0,0
tt0090859,0,0
tt0090863,3,10
tt0090887,0,0
tt0090888,0,0
tt0090927,0,0
tt0090966,1,5
tt0090967,4,6
tt0091042,2,1
tt0091059,0,0
tt0091064,7,10
tt0091080,0,0
tt0091083,3,4
tt0091129,0,0
tt0091149,1,3
tt0091159,0,0
tt0091167,27,26
tt0091187,3,1
tt0091203,0,0
tt0091209,0,0
tt0091217,3,5
tt0091223,1,4
tt0091225,5,4
tt0091251,0,0
tt0091278,0,0
tt0091288,11,17
tt0091306,0,0
tt0091326,4,3
tt0091341,3,1
tt0091369,0,0
tt0091419,2,14
tt0091431,0,0
tt0091445,0,0
tt0091474,0,0
tt0091480,4,3
tt0091495,6,6
tt0091499,0,0
tt0091530,15,27
tt0091538,14,14
tt0091541,0,0
tt0091557,1,3
tt0091578,6,6
tt0091605,17,6
tt0091630,1,1
tt0091635,0,0
tt0091670,9,3
tt0091680,0,0
tt0091738,4,11
tt0091763,24,15
tt0091777,0,0
tt0091778,1,5
tt0091790,0,0
tt0091799,0,0
tt0091828,0,0
tt0091860,4,5
tt0091867,25,22
tt0091875,1,1
tt0091877,1,3
tt0091886,4,9
tt0091939,4,2
tt0091949,1,3
tt0091954,4,2
tt0091983,2,6
tt0091993,0,0
tt0092005,5,11
tt0092007,4,18
tt0092048,6,4
tt0092067,0,0
tt0092076,1,1
tt0092086,0,0
tt0092099,11,5
tt0092106,0,0
tt0092214,0,0
tt0092240,0,0
tt0092263,6,14
tt0092272,0,0
tt0092493,0,0
tt0092494,2,1
tt0092513,2,4
tt0092563,2,4
tt0092593,28,13
tt0092603,12,9
tt0092605,0,0
tt0092610,1,1
tt0092618,0,0
tt0092644,6,4
tt0092654,4,5
tt0092666,0,0
tt0092675,0,0
tt0092695,1,4
tt0092699,15,24
tt0092718,1,3
tt0092796,0,0
tt0092804,5,16
tt0092890,11,6
tt0092925,0,0
tt0092965,13,17
tt0092974,0,0
tt0092991,0,0
tt0093010,7,22
tt0093058,8,15
tt0093075,2,2
tt0093105,7,4
tt0093137,0,0
tt0093148,2,7
tt0093177,2,6
tt0093185,4,6
tt0093191,19,16
tt0093209,16,29
tt0093223,6,5
tt0093260,2,4
tt0093278,1,3
tt0093300,1,7
tt0093378,3,3
tt0093389,60,22
tt0093407,0,0
tt0093409,7,2
tt0093412,12,5
tt0093428,3,4
tt0093437,3,5
tt0093493,5,4
tt0093507,2,5
tt0093512,4,3
tt0093560,3,4
tt0093565,18,19
tt0093578,0,0
tt0093603,6,1
tt0093605,1,9
tt0093624,0,0
tt0093629,1,4
tt0093640,0,0
tt0093677,0,0
tt0093692,4,2
tt0093693,0,0
tt0093748,0,0
tt0093756,0,0
tt0093773,3,6
tt0093777,1,2
tt0093779,7,10
tt0093818,3,11
tt0093822,0,0
tt0093857,0,0
tt0093870,11,13
tt0093886,3,2
tt0093894,1,3
tt0093936,1,1
tt0094006,0,0
tt0094012,0,0
tt0094025,0,0
tt0094027,11,7
tt0094035,2,8
tt0094072,0,0
tt0094074,2,6
tt0094118,0,0
tt0094137,2,1
tt0094138,0,0
tt0094142,2,4
tt0094226,11,16
tt0094291,10,5
tt0094332,5,13
tt0094336,1,1
tt0094602,0,0
tt0094606,4,11
tt0094608,6,5
tt0094625,0,0
tt0094631,1,4
tt0094663,1,3
tt0094715,1,6
tt0094721,7,11
tt0094737,11,14
tt0094739,1,1
tt0094746,0,0
tt0094747,10,9
tt0094761,1,7
tt0094812,7,6
tt0094824,4,2
tt0094862,2,4
tt0094889,5,6
tt0094890,0,0
tt0094894,1,1
tt0094898,5,5
tt0094919,1,3
tt0094947,21,21
tt0094963,0,0
tt0094964,20,14
tt0095016,8,6
tt0095031,1,1
tt0095082,0,0
tt0095088,1,4
tt0095159,9,18
tt0095174,0,0
tt0095179,0,0
tt0095188,0,0
tt0095243,6,9
tt0095250,3,6
tt0095253,0,0
tt0095270,0,0
tt0095271,1,2
tt0095294,1,6
tt0095327,0,0
tt0095348,0,0
tt0095403,2,1
tt0095444,0,0
tt0095467,11,1
tt0095468,7,3
tt0095489,0,0
tt0095497,2,7
tt0095519,2,1
tt0095560,2,6
tt0095583,0,0
tt0095593,6,5
tt0095631,2,4
tt0095647,17,24
tt0095652,7,2
tt0095655,2,2
tt0095675,22,24
tt0095687,0,0
tt0095690,1,4
tt0095705,0,0
tt0095715,1,1
tt0095742,2,9
tt0095765,25,32
tt0095776,1,2
tt0095800,5,11
tt0095801,14,7
tt0095863,0,0
tt0095882,0,0
tt0095889,0,0
tt0095897,0,0
tt0095925,0,0
tt0095936,10,2
tt0095953,26,23
tt0095956,2,5
tt0095963,0,0
tt0095990,0,0
tt0096018,5,8
tt0096061,1,5
tt0096071,0,0
tt0096073,1,1
tt0096094,0,0
tt0096098,0,0
tt0096101,0,0
tt0096118,0,0
tt0096163,7,6
tt0096219,3,5
tt0096244,2,3
tt0096251,0,0
tt0096256,0,0
tt0096283,5,2
tt0096316,8,9
tt0096320,4,1
tt0096332,7,13
tt0096426,2,4
tt0096438,24,22
tt0096446,1,11
tt0096463,9,17
tt0096487,1,2
tt0096734,0,0
tt0096754,9,15
tt0096764,11,14
tt0096787,0,0
tt0096794,0,0
tt0096870,0,0
tt0096874,9,9
tt0096895,9,26
tt0096913,0,0
tt0096928,0,0
tt0096933,1,4
tt0096945,0,0
tt0096969,15,26
tt0097027,1,5
tt0097044,1,2
tt0097050,0,0
tt0097108,7,11
tt0097123,16,26
tt0097138,0,0
tt0097162,5,6
tt0097165,20,19
tt0097179,0,0
tt0097202,2,6
tt0097216,21,17
tt0097223,3,5
tt0097235,0,0
tt0097239,21,24
tt0097240,12,11
tt0097257,0,0
tt0097289,0,0
tt0097322,14,17
tt0097328,0,0
tt0097351,7,13
tt0097366,0,0
tt0097368,0,0
tt0097388,0,0
tt0097390,0,0
tt0097428,2,1
tt0097441,14,18
tt0097443,0,0
tt0097457,1,1
tt0097474,0,0
tt0097481,2,2
tt0097493,3,11
tt0097499,11,13
tt0097523,2,10
tt0097576,8,22
tt0097637,0,0
tt0097647,0,0
tt0097659,0,0
tt0097722,4,5
tt0097733,1,2
tt0097737,1,1
tt0097742,0,0
tt0097757,14,8
tt0097758,0,0
tt0097770,0,0
tt0097778,5,2
tt0097814,0,0
tt0097815,0,0
tt0097858,4,1
tt0097937,23,20
tt0097940,1,8
tt0097958,0,0
tt0097965,0,0
tt0097981,3,2
tt0098067,4,14
tt0098084,1,6
tt0098097,0,0
tt0098105,0,0
tt0098141,0,0
tt0098206,0,0
tt0098253,1,9
tt0098258,1,3
tt0098273,0,0
tt0098282,0,0
tt0098309,0,0
tt0098320,0,0
tt0098327,2,1
tt0098354,1,2
tt0098360,3,1
tt0098382,4,3
tt0098384,2,7
tt0098439,0,0
tt0098471,0,0
tt0098536,1,1
tt0098546,0,0
tt0098554,0,0
tt0098575,3,5
tt0098577,1,3
tt0098621,2,9
tt0098622,1,8
tt0098625,0,0
tt0098627,0,0
tt0098635,4,17
tt0098645,0,0
tt0098663,0,0
tt0098724,15,24
tt0098966,0,0
tt0098987,5,3
tt0099005,0,0
tt0099012,1,7
tt0099044,0,0
tt0099052,2,5
tt0099077,6,11
tt0099088,5,11
tt0099141,0,0
tt0099160,2,1
tt0099165,1,5
tt0099180,1,4
tt0099204,0,0
tt0099253,0,0
tt0099329,0,0
tt0099334,31,29
tt0099348,51,38
tt0099365,3,8
tt0099371,1,2
tt0099385,0,0
tt0099422,9,36
tt0099423,0,0
tt0099472,0,0
tt0099487,9,24
tt0099528,2,5
tt0099558,0,0
tt0099582,0,0
tt0099615,1,2
tt0099653,18,23
tt0099674,6,23
tt0099685,44,38
tt0099699,3,4
tt0099700,0,0
tt0099703,10,21
tt0099726,3,7
tt0099739,0,0
tt0099740,3,4
tt0099762,1,5
tt0099763,9,8
tt0099776,8,8
tt0099785,11,6
tt0099797,0,0
tt0099800,2,10
tt0099810,3,8
tt0099817,0,0
tt0099819,0,0
tt0099850,0,0
tt0099871,3,1
tt0099892,0,0
tt0099938,4,1
tt0099939,1,2
tt0099994,0,0
tt0100029,0,0
tt0100050,0,0
tt0100054,0,0
tt0100095,6,5
tt0100114,0,0
tt0100133,1,4
tt0100135,0,0
tt0100140,4,1
tt0100150,4,16
tt0100157,5,10
tt0100168,1,3
tt0100201,0,0
tt0100212,0,0
tt0100232,0,0
tt0100234,2,2
tt0100240,2,4
tt0100258,0,0
tt0100260,7,5
tt0100263,6,17
tt0100318,0,0
tt0100395,2,12
tt0100403,1,4
tt0100404,1,2
tt0100405,8,11
tt0100419,0,0
tt0100436,3,5
tt0100449,0,0
tt0100477,0,0
tt0100485,0,0
tt0100486,13,16
tt0100502,0,0
tt0100507,0,0
tt0100514,0,0
tt0100519,3,2
tt0100530,0,0
tt0100594,9,8
tt0100685,0,0
tt0100740,0,0
tt0100758,3,3
tt0100802,7,16
tt0100814,0,0
tt0100828,0,0
tt0100928,0,0
tt0100934,0,0
tt0100935,5,12
tt0100944,3,8
tt0100994,3,4
tt0100998,3,12
tt0101026,8,19
tt0101258,17,9
tt0101272,5,22
tt0101316,3,7
tt0101318,5,11
tt0101329,0,0
tt0101393,1,11
tt0101410,19,30
tt0101414,31,32
tt0101452,1,1
tt0101453,0,0
