,win,nomination
nm0526971,1,0
nm8469043,,
nm0166256,11,17
nm3245732,,
nm1437990,11,15
nm1032754,1,1
nm0675929,,
nm1471001,2,5
nm3417134,7,4
nm0617960,5,3
nm6676672,4,3
nm0532914,5,7
nm0958257,1,0
nm0148999,0,4
nm0304298,1,2
nm8345958,,
nm5774826,,
nm0690741,3,3
nm1985821,2,1
nm4879201,,
nm0364578,5,3
nm9808665,3,5
nm2389985,0,1
nm0277946,14,22
nm3016796,,
nm0688076,0,1
nm0230629,1,0
nm2268077,0,1
nm0532385,,
nm1416684,1,0
nm1978693,4,8
nm1537157,1,2
nm4091941,5,4
nm0886281,,
nm0080120,9,1
nm0500867,0,1
nm0725572,,
nm0928208,0,1
nm9767413,,
nm2333129,1,1
nm0682592,,
nm9857893,,
nm0026174,7,7
nm6026330,0,1
nm5509924,,
nm1320634,,
nm0482232,,
nm0828336,2,1
nm1041888,1,0
nm0596850,1,6
nm0538306,2,0
nm0142557,,
nm0701373,,
nm0769419,,
nm0484073,27,52
nm1699780,3,3
nm0096066,2,11
nm2159009,6,0
nm0164760,,
nm0457124,,
nm0731596,,
nm0840075,13,13
nm0791084,6,2
nm0311057,,
nm0408644,10,9
nm2457463,,
nm4111757,6,1
nm3591496,2,5
nm2088654,,
nm1230603,2,1
nm3244731,6,2
nm1426193,,
nm6887163,,
nm0313884,,
nm3660295,1,4
nm0108094,1,12
nm1347107,,
nm0096835,6,0
nm1642796,9,9
nm0141351,,
nm3608198,0,1
nm3957301,1,0
nm0415422,2,0
nm0433059,3,0
nm1690765,10,9
nm1637474,12,4
nm0319266,3,16
nm1862705,1,1
nm0080143,1,0
nm3599146,1,0
nm1825108,,
nm4900086,0,2
nm7569493,2,0
nm0136557,11,3
nm0241870,1,5
nm0534222,1,0
nm2459558,,
nm1374706,1,0
nm0623392,9,9
nm9800839,,
nm2748229,2,0
nm10951338,,
nm6294277,,
nm0191836,0,1
nm2415923,8,1
nm1351446,,
nm0559769,,
nm0564260,1,22
nm1840911,1,1
nm2312038,2,2
nm0951731,3,3
nm1044682,10,7
nm0469273,23,9
nm1006491,,
nm0183325,,
nm0899501,74,58
nm1880258,4,2
nm0447960,3,4
nm0008943,,
nm4156136,,
nm2080122,,
nm0057825,3,11
nm0879853,,
nm0144271,,
nm2753577,,
nm4075058,3,0
nm3814074,5,18
nm0387541,2,4
nm0382054,3,2
nm1500863,0,1
nm0819806,,
nm0161621,9,8
nm5103050,,
nm1037560,2,0
nm0634602,0,1
nm0615932,0,1
nm4859460,,
nm0678072,,
nm0643443,2,1
nm0577641,2,7
nm6497799,,
nm8547541,,
nm0351945,,
nm0310747,48,40
nm0688354,2,0
nm1248890,1,8
nm2324637,37,17
nm9264319,,
nm0174983,,
nm0804619,4,4
nm0904406,13,4
nm6682160,0,1
nm0026195,,
nm0769421,5,2
nm0113499,3,1
nm9511105,,
nm0292050,,
nm0918659,2,1
nm2315047,0,1
nm0219456,1,2
nm0855350,5,5
nm0846879,,
nm0181421,6,3
nm0341461,3,2
nm0602616,7,8
nm4328412,,
nm5113220,2,3
nm0523994,,
nm0591400,0,3
nm3829368,1,0
nm2371963,1,0
nm0005189,2,19
nm1662776,2,11
nm0661882,1,6
nm4217820,,
nm0783509,0,1
nm0071034,5,1
nm0892538,2,1
nm0218621,1,4
nm0533350,,
nm0273277,7,2
nm0713576,11,1
nm0077495,,
nm0028968,1,0
nm5713732,,
nm0828350,4,5
nm1576746,0,2
nm1216773,,
nm2131480,,
nm0873488,2,3
nm0300858,4,4
nm2061192,0,3
nm1346092,,
nm0867265,,
nm0794198,,
nm0591171,3,6
nm0744954,,
nm2012022,2,4
nm0652020,15,12
nm1189063,1,3
nm0030735,10,5
nm0124571,2,2
nm6416760,,
nm0502422,0,1
nm0862215,0,1
nm1334526,4,9
nm6291733,,
nm0108333,6,11
nm0592614,,
nm4999608,2,2
nm7909553,,
nm0758924,,
nm0950970,0,1
nm0658087,,
nm0709726,1,4
nm0004890,1,2
nm1299381,,
nm2273628,5,1
nm2910657,,
nm2612307,1,0
nm4415009,0,1
nm0333523,7,12
nm0909120,,
nm4583848,,
nm0916224,,
nm6468728,0,2
nm0485889,,
nm1075006,6,0
nm1182771,,
nm0416036,14,9
nm9211316,,
nm0080474,,
nm3031132,1,0
nm0827537,,
nm0501165,2,0
nm0533334,0,6
nm1250667,0,1
nm4515899,1,6
nm0003394,2,22
